data folder: data/ready/pos/tiger/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 0
use word embeddings: 1
use crf layer: 0

40.train    L 0.112    acc 96.28
40.val      L 0.129    acc 95.80

41.train    L 0.111    acc 96.28
41.val      L 0.128    acc 95.83

42.train    L 0.112    acc 96.26
42.val      L 0.128    acc 95.71

43.train    L 0.111    acc 96.30
43.val      L 0.129    acc 95.77

44.train    L 0.111    acc 96.30
44.val      L 0.129    acc 95.84

45.train    L 0.111    acc 96.30
45.val      L 0.128    acc 95.77

46.train    L 0.110    acc 96.32
46.val      L 0.127    acc 95.77

47.train    L 0.110    acc 96.33
47.val      L 0.128    acc 95.86

48.train    L 0.110    acc 96.35
48.val      L 0.127    acc 95.78

49.train    L 0.109    acc 96.38
49.val      L 0.128    acc 95.90

50.train    L 0.110    acc 96.36
50.val      L 0.128    acc 95.87

51.train    L 0.109    acc 96.38
51.val      L 0.127    acc 95.87

52.train    L 0.109    acc 96.39
52.val      L 0.126    acc 95.88

53.train    L 0.109    acc 96.40
53.val      L 0.127    acc 95.89

54.train    L 0.108    acc 96.41
54.val      L 0.127    acc 95.88

55.train    L 0.109    acc 96.38
55.val      L 0.127    acc 95.86

56.train    L 0.108    acc 96.41
56.val      L 0.126    acc 95.91

57.train    L 0.108    acc 96.38
57.val      L 0.127    acc 95.78

58.train    L 0.108    acc 96.40
58.val      L 0.126    acc 95.79

59.train    L 0.108    acc 96.40
59.val      L 0.126    acc 95.78

60.train    L 0.108    acc 96.43
60.val      L 0.126    acc 95.83

61.train    L 0.108    acc 96.41
61.val      L 0.126    acc 95.89

62.train    L 0.107    acc 96.45
62.val      L 0.126    acc 95.93

63.train    L 0.107    acc 96.45
63.val      L 0.126    acc 95.87

64.train    L 0.107    acc 96.42
64.val      L 0.126    acc 95.80

65.train    L 0.107    acc 96.47
65.val      L 0.126    acc 95.91

66.train    L 0.106    acc 96.48
66.val      L 0.125    acc 95.95

67.train    L 0.106    acc 96.45
67.val      L 0.125    acc 95.94

68.train    L 0.106    acc 96.46
68.val      L 0.125    acc 95.86

69.train    L 0.106    acc 96.48
69.val      L 0.125    acc 95.84

70.train    L 0.106    acc 96.50
70.val      L 0.125    acc 95.98

71.train    L 0.106    acc 96.49
71.val      L 0.125    acc 95.98

72.train    L 0.106    acc 96.49
72.val      L 0.125    acc 95.86

73.train    L 0.105    acc 96.51
73.val      L 0.125    acc 95.98

74.train    L 0.105    acc 96.50
74.val      L 0.125    acc 95.94

75.train    L 0.105    acc 96.51
75.val      L 0.124    acc 95.96

76.train    L 0.105    acc 96.49
76.val      L 0.125    acc 95.94

77.train    L 0.105    acc 96.51
77.val      L 0.125    acc 95.96

78.train    L 0.105    acc 96.51
78.val      L 0.124    acc 96.00

79.train    L 0.104    acc 96.54
79.val      L 0.124    acc 95.99

80.train    L 0.105    acc 96.53
80.val      L 0.124    acc 95.99

81.train    L 0.105    acc 96.52
81.val      L 0.125    acc 95.95

82.train    L 0.104    acc 96.54
82.val      L 0.124    acc 95.99

83.train    L 0.104    acc 96.55
83.val      L 0.124    acc 95.99

84.train    L 0.104    acc 96.56
84.val      L 0.124    acc 96.01

85.train    L 0.104    acc 96.54
85.val      L 0.124    acc 95.95

86.train    L 0.104    acc 96.58
86.val      L 0.123    acc 95.99

87.train    L 0.104    acc 96.55
87.val      L 0.124    acc 95.89

88.train    L 0.104    acc 96.56
88.val      L 0.124    acc 95.97

89.train    L 0.104    acc 96.58
89.val      L 0.124    acc 96.04

90.train    L 0.104    acc 96.54
90.val      L 0.124    acc 95.98

91.train    L 0.104    acc 96.57
91.val      L 0.124    acc 96.00

92.train    L 0.104    acc 96.55
92.val      L 0.124    acc 95.98

93.train    L 0.104    acc 96.55
93.val      L 0.124    acc 95.87

94.train    L 0.103    acc 96.58
94.val      L 0.124    acc 95.92

95.train    L 0.103    acc 96.60
95.val      L 0.123    acc 96.04

96.train    L 0.103    acc 96.59
96.val      L 0.124    acc 95.88

97.train    L 0.103    acc 96.58
97.val      L 0.124    acc 95.97

98.train    L 0.103    acc 96.57
98.val      L 0.124    acc 96.01

99.train    L 0.103    acc 96.59
99.val      L 0.123    acc 96.01

100.train    L 0.103   acc 96.59
100.val      L 0.123   acc 96.00


Best epoch: 95
Best metric: 96.04

Confusion matrix:

[[ 2399     0     1    13     1     0     0     0     0     0     0     4     0     0     0     0     0     0     9    18     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0]
 [    0  2941     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0  4207     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [   35     0     0  4088     0     2     0     0     0     0     1    36     0     0     0     0     0     0    19    52     0     0     0    12     4     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     6     0     0     0     0     0     0     0     8     0     1     0     1     0]
 [    5     0     0    11  1132   222     0     0     0     0     0    10     1     0     0     0     0     0    21    46     0     0     0     1     0     0     0     0     0     0     0     1     0     0     0     2     0     0     0     0     2     0     0     0     0     0     0     0     8     0     5     2    56     0]
 [    7     0     0     1    83  3066     0    22     0     0     0     2     0     0     0     1     0     0     8    10     0     0     0     3    14     0     0     0     0     0     0    15     0     0     0    14     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     3     0]
