data folder: data/ready/pos/tiger/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 0
use word embeddings: 1
use crf layer: 1

76.train    L 1.692    acc 96.73
76.val      L 1.794    acc 96.08

77.train    L 1.694    acc 96.72
77.val      L 1.799    acc 96.11

78.train    L 1.691    acc 96.73
78.val      L 1.788    acc 96.10

79.train    L 1.693    acc 96.73
79.val      L 1.787    acc 96.10

80.train    L 1.688    acc 96.72
80.val      L 1.788    acc 96.11

81.train    L 1.688    acc 96.72
81.val      L 1.794    acc 96.04

82.train    L 1.684    acc 96.74
82.val      L 1.786    acc 96.08

83.train    L 1.684    acc 96.75
83.val      L 1.788    acc 96.12

84.train    L 1.679    acc 96.75
84.val      L 1.787    acc 96.11

85.train    L 1.674    acc 96.76
85.val      L 1.781    acc 96.12

86.train    L 1.673    acc 96.76
86.val      L 1.788    acc 96.14

87.train    L 1.673    acc 96.76
87.val      L 1.789    acc 96.12

88.train    L 1.673    acc 96.78
88.val      L 1.788    acc 96.15

89.train    L 1.666    acc 96.79
89.val      L 1.777    acc 96.14

90.train    L 1.669    acc 96.78
90.val      L 1.787    acc 96.15

91.train    L 1.666    acc 96.78
91.val      L 1.782    acc 96.14

92.train    L 1.663    acc 96.79
92.val      L 1.778    acc 96.15

93.train    L 1.666    acc 96.78
93.val      L 1.780    acc 96.14

94.train    L 1.666    acc 96.78
94.val      L 1.785    acc 96.13

95.train    L 1.663    acc 96.78
95.val      L 1.783    acc 96.12

96.train    L 1.665    acc 96.77
96.val      L 1.788    acc 96.12

97.train    L 1.658    acc 96.80
97.val      L 1.780    acc 96.12

98.train    L 1.659    acc 96.79
98.val      L 1.782    acc 96.12

99.train    L 1.664    acc 96.77
99.val      L 1.783    acc 96.09

100.train    L 1.657   acc 96.79
100.val      L 1.785   acc 96.14


Best epoch: 92
Best metric: 96.15

Confusion matrix:

[[ 2397     0     1    15     0     0     0     0     0     0     0     5     1     0     0     0     0     0     8    19     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0  2941     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0  4207     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [   22     0     0  4120     1     2     0     0     0     0     1    33     0     0     0     0     0     0     7    53     0     0     0     8     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     4     0     0     0     0     0     0     0     9     0     0     0     0     0]
 [    6     0     0    12  1148   218     0     0     0     0     0     8     1     0     0     0     0     0    25    37     0     0     0     1     1     0     0     0     0     0     0     4     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     4     0     5     2    51     0]
 [    6     0     0     1    90  3047     0    23     0     0     0     1     0     0     0     1     0     0     8    10     0     0     0     3    15     0     0     0     0     0     0    26     0     0     0    13     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     3     0]
 [    0     0     0     0     0     0    34     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    1     0     0     1     3     6     0  6892     0     2     0     0     0     0     1     4     5     0     2     2     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     2     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     6     0     0     0     0  1304     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     4     0     7     0    43     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0  8774     0     0     0     0     0     0     0     0     0     0     0     4     0     1     0     0     0     0     7     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    6     0     0    41     9     1     0     0     0     0     2  1866     0     0     0     0     0     0    67    90     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     3     0     1     3     1     0]
 [    3     0     0     2     1     0     0     0     0     0     1     0    16     0     0     0     0     0   158    18     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     7     0     0     0     0     0     0   205     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    7     0     0     0     0    15     0     3     0     0     0     0     0     0     4  1628     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0    81     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     1     0     3     0     0     0     0     0     0     0     0     0   458     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    3     0     0    41     6     1     0     4     0     0     0    27     2     0     0     0     0     0  3756   467     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     5     0     0     0     0     0     0     0     7     0     5     1     2    73]
 [   20     0     0   106    10     2     0     0     0     0     0    47     0     0     0     0     0     0   210 16347     0     0     0     1     0     1     0     0     0     0     0     0     0     0     0     2     0     0     0     0    35     0     0     0     0     0     0     0     9     0     6     1     4    32]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   223     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     8     0     0     0     0     0     0     0     0     0     0     8   235     0     1     0     0     0     2     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     8     3    13     0     0     0     0     1     1     0     0     0     0     0     0     1     0     0     0     0   445     4     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     3     4    17     0     0     0     0     5     1     0     0     0     0     0     0     0     0     0     0     3     4   308     2     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   785     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   486     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0    21     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0    14     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   380     0     0     0     0     0     0     0     0     0     7     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0   421     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     2    21     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0   467     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     3     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    31     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   381     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0    11     8     0     0     0     0     0     1     0     0     0     0     0     0     1     2     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0   496     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0]
 [    0     0     0     0     0     0     0     4     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   340     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    10     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     5     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    89     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     1    43     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     4    32     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   105     0     0     0     0     0     0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1898     0     1     0     2     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0   274     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    89     0     0     0     0     0     0     0     5     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   942     1     0     2     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    36     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0]
 [    0     0     0     5     2     0     0     0     0     0     0     9     0     0     0     0     0     0     9    21     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     6     0     0  3110     0     4     1     6     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3    17     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     4     9     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0    17     0  1279     7    20     0]
 [    0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     1     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    10     0     0   100    10     0]
 [    0     0     0     1    29     0     0     0     0     0     0     3     0     0     0     0     0     0     8    15     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     1     0     0     0     0     0     0     0    12     0     6     3  1365     0]
 [    1     0     1     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0    18     4     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     1     0     0     0     0   111]]

Predicted sentence samples:

1. Damit_PROAV|KOUS die_ART bisherige_ADJA Obergrenze_NN der_ART EU-Eigenmittel_NN von_APPR 1,27_CARD Prozent_NN des_ART Bruttosozialprodukts_NN auch_ADV künftig_ADJD eingehalten_VVPP werden_VAINF könne_VMFIN ,_$, müßten_VMFIN Reformen_NN bei_APPR den_ART großen_ADJA Etatblöcken_NN angegangen_VVPP werden_VAINF ._$.
2. Die_ART Agrarausgaben_NN ,_$, die_PRELS bisher_ADV rund_ADV die_ART Hälfte_NN des_ART Brüsseler_ADJA Haushalts_NN ausmachen_VVFIN ,_$, sind_VAFIN nach_APPR Ansicht_NN der_ART SPD_NE durch_APPR eine_ART Abkehr_NN vom_APPRART bisherigen_ADJA Subventionssystem_NN deutlich_ADJD zu_PTKZU reduzieren_VVINF ._$.
3. Über_APPR neun_CARD Milliarden_NN Mark_NN jährlich_ADJD (_$( wovon_PWAV ein_ART Viertel_NN auf_APPR die_ART Bundesrepublik_NN entfällt_VVFIN )_$( lassen_VVFIN sich_PRF der_ART Partei_NN zufolge_APPO durch_APPR eine_ART ``_$( Teilliberalisierung_NN ''_$( der_ART Preise_NN einsparen_VVINF ._$.
4. Um_KOUI extreme_ADJA Härten_NN für_APPR einzelne_ADJA Landwirte_NN zu_PTKZU mildern_VVINF ,_$, sollten_VMFIN nach_APPR ökologischen_ADJA Gesichtspunkten_NN Flächenbeihilfen_NN gezahlt_VVPP werden_VAINF ._$.
5. Deutlich_ADJD|ADV verringern_VVINF will_VMFIN die_ART SPD_NE auch_ADV die_ART Zahl_NN der_ART Gebiete_NN ,_$, die_PRELS bislang_ADV Fördermittel_NN erhalten_VVFIN ._$.
6. Der_ART Anteil_NN der_ART Bevölkerung_NN ,_$, der_PRELS dort_ADV lebt_VVFIN ,_$, betrage_VVFIN zur_APPRART Zeit_NN 51_CARD Prozent_NN ,_$, sagte_VVFIN Wieczorek-Zeul_NE ._$.
7. Eine_ART sinnvolle_ADJA ``_$( Zielgröße_NN ''_$( seien_VAFIN 35_CARD Prozent_NN ._$.
8. Für_APPR die_ART Regionen_NN ,_$, die_PRELS dann_ADV keine_PIAT Zuschüsse_NN mehr_ADV bekommen_VVFIN ,_$, solle_VMFIN es_PPER übergangsweise_ADV Darlehen_NN geben_VVINF ._$.
