data folder: data/ready/pos/tiger/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 1

88.train    L 0.525    acc 99.02
88.val      L 0.952    acc 98.13

89.train    L 0.523    acc 99.02
89.val      L 0.957    acc 98.15

90.train    L 0.524    acc 99.03
90.val      L 0.952    acc 98.16

91.train    L 0.518    acc 99.03
91.val      L 0.941    acc 98.18

92.train    L 0.512    acc 99.05
92.val      L 0.952    acc 98.16

93.train    L 0.511    acc 99.05
93.val      L 0.951    acc 98.19

94.train    L 0.513    acc 99.05
94.val      L 0.969    acc 98.13

95.train    L 0.508    acc 99.06
95.val      L 0.944    acc 98.16

96.train    L 0.507    acc 99.05
96.val      L 0.942    acc 98.16

97.train    L 0.504    acc 99.06
97.val      L 0.946    acc 98.16

98.train    L 0.498    acc 99.08
98.val      L 0.935    acc 98.15

99.train    L 0.500    acc 99.07
99.val      L 0.939    acc 98.18

100.train    L 0.496   acc 99.08
100.val      L 0.944   acc 98.17


Best epoch: 93
Best metric: 98.19

Confusion matrix:

[[ 2445     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0  2941     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0  4207     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0  4237     1     2     0     1     0     0     1     0     0     0     0     0     0     0     3    12     0     0     0     2     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     4     0     0     0     0     0]
 [    0     0     0    11  1423    19     0     1     0     0     0     2     0     0     0     0     0     0     3     4     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     6     0     1     0    52     0]
 [    0     0     0     1    20  3178     0    12     0     0     0     0     0     0     0     2     0     0     2     1     0     0     0     1    22     0     0     0     0     0     0     2     0     0     0     9     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
