data folder: data/ready/pos/wsj/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 1
use crf layer: 1

68.train    L 1.179    acc 98.15
68.val      L 1.714    acc 97.48

69.train    L 1.178    acc 98.15
69.val      L 1.702    acc 97.50

70.train    L 1.173    acc 98.16
70.val      L 1.703    acc 97.49

71.train    L 1.172    acc 98.16
71.val      L 1.704    acc 97.47

72.train    L 1.169    acc 98.16
72.val      L 1.706    acc 97.47

73.train    L 1.165    acc 98.18
73.val      L 1.705    acc 97.48

74.train    L 1.163    acc 98.17
74.val      L 1.707    acc 97.51

75.train    L 1.157    acc 98.18
75.val      L 1.702    acc 97.48

76.train    L 1.158    acc 98.18
76.val      L 1.707    acc 97.50

77.train    L 1.152    acc 98.19
77.val      L 1.696    acc 97.51

78.train    L 1.154    acc 98.17
78.val      L 1.715    acc 97.49

79.train    L 1.150    acc 98.19
79.val      L 1.715    acc 97.46

80.train    L 1.148    acc 98.19
80.val      L 1.717    acc 97.48

81.train    L 1.148    acc 98.19
81.val      L 1.707    acc 97.49

82.train    L 1.144    acc 98.21
82.val      L 1.712    acc 97.50

83.train    L 1.142    acc 98.21
83.val      L 1.712    acc 97.49

84.train    L 1.138    acc 98.20
84.val      L 1.697    acc 97.50

85.train    L 1.136    acc 98.22
85.val      L 1.708    acc 97.50

86.train    L 1.129    acc 98.22
86.val      L 1.698    acc 97.50

87.train    L 1.131    acc 98.21
87.val      L 1.711    acc 97.50

88.train    L 1.126    acc 98.22
88.val      L 1.708    acc 97.50

89.train    L 1.123    acc 98.23
89.val      L 1.702    acc 97.51

90.train    L 1.119    acc 98.23
90.val      L 1.707    acc 97.48

91.train    L 1.118    acc 98.24
91.val      L 1.713    acc 97.52

92.train    L 1.118    acc 98.23
92.val      L 1.707    acc 97.51

93.train    L 1.118    acc 98.24
93.val      L 1.706    acc 97.50

94.train    L 1.112    acc 98.24
94.val      L 1.710    acc 97.52

95.train    L 1.111    acc 98.24
95.val      L 1.707    acc 97.48

96.train    L 1.112    acc 98.24
96.val      L 1.703    acc 97.48

97.train    L 1.108    acc 98.25
97.val      L 1.702    acc 97.51

98.train    L 1.106    acc 98.26
98.val      L 1.704    acc 97.51

99.train    L 1.106    acc 98.25
99.val      L 1.711    acc 97.52

100.train    L 1.106   acc 98.25
100.val      L 1.706   acc 97.53


Best epoch: 100
Best metric: 97.53

Confusion matrix:

[[   31     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0  1144     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0   991     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0   181     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0   181     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0  7086     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0  5468     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     3     0     0     0     0   636     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0  3364     0     6     0     1     0     0     0     0     0     0     0     0     0     1     0     0     0     0     7     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0  5208     0     0     0     0     7     0     0     0     0     2     1     0     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     6     0 11164     0     0    29     1     0     0     0     0     8     7     0     0     2     0     0     0     7     0     0     0     0     0     0     0     0     0     0     0     0     6     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0   117     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     7     2     0     0     0     0     0     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     3     0     9     0     1 13446     6     0     0     0     0     0     1     0     0     0     0     0     0   125     0     0    50     0     0     0     0     0     0     0     1     0     9     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     2     3  7560     2     0     1     0   192    46     0     4     4     0     1     1    45     0     0     0     0     0     0     4     4    49   176     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     5   411     0     0     0     2     1     0     0     0     0     0     0     1    25     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0   252     0     0     1     1     0     0     0     0     0     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1293     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0    14     2     0     1     5   362     1     0     0     3 17749   194     0    49     1     0     9     0    18     0     0     0     0     0     0    28     4    82     5    10     1     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     5     6     0     1     5    62     0     0     0     2    41 12871   165     9     0     0     0     0     4     0     0     1     0     0     0     0     0     7     4     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    58   336    18     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0    11     0     0     0     0     7     0     0     0     0    20    16    15  7952     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    22     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     9     0     0     0     2     0     0     0     0     1     0     0     0    49     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1237     0     0     0     0     0     0     0     0     0     0     0     0     0     0     4     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     2     0     0     0     0     1  2375     4     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1184     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     5     0    15     5     0    98    75     2     2     0     0    16     3     0     1     1     0     0     0  3840    43     0    61     0     0     1     2     0     0     0     1     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    61     0     0     0     0     0     0     0     0     0     0     0     2   166     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    10     0     0     0     0     0     0     0     0     0     0     0     0    41     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0    32     2     0     0     0     0     0     0     0     0     0     0     0     0    23     0     0   306     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     4     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  3074     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     5     0     0     0     0     0     0     0     0     0     0     8     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     6     1     0     0     0    19     4     0     0     0     0     0     0     1     0     0     0     0     0     0  3415     9     0     5    43     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     5     0     0     0     1     2     2     0     0     0     0     0     0     0     0     0     0     0     0     0     1  4523     0    80     6     1     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0    21     0     0     0     0    88     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1846     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0    75     0     0     0     0     7     2     0     0     0     0     0     0     0     0     0     0     0     0     0     3   120     0  2617     1     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     1     3     0     0     0     0     9     1     0     0     0     0     0     0     0     0     0     0     0     0     0    21     5     0     1  1445     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    26     0     5     0     0     0     0     0     0     0     0     0     0     0     0     0     1  2783     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     4     0     0     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   535     1     0     0     0]
