data folder: data/ready/pos/tiger/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 1
use crf layer: 1

88.train    L 0.277    acc 99.50
88.val      L 0.696    acc 98.66

89.train    L 0.278    acc 99.49
89.val      L 0.707    acc 98.65

90.train    L 0.276    acc 99.50
90.val      L 0.695    acc 98.66

91.train    L 0.274    acc 99.49
91.val      L 0.710    acc 98.66

92.train    L 0.274    acc 99.49
92.val      L 0.712    acc 98.67

93.train    L 0.274    acc 99.49
93.val      L 0.711    acc 98.66

94.train    L 0.270    acc 99.50
94.val      L 0.705    acc 98.65

95.train    L 0.267    acc 99.51
95.val      L 0.705    acc 98.66

96.train    L 0.268    acc 99.50
96.val      L 0.715    acc 98.64

97.train    L 0.265    acc 99.51
97.val      L 0.715    acc 98.65

98.train    L 0.263    acc 99.51
98.val      L 0.710    acc 98.66

99.train    L 0.264    acc 99.51
99.val      L 0.712    acc 98.66

100.train    L 0.263   acc 99.51
100.val      L 0.710   acc 98.65


Best epoch: 92
Best metric: 98.67

Confusion matrix:

[[ 2445     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0  2941     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    1     0  4206     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0  4239     1     0     0     1     0     0     1     0     1     0     0     0     0     0     6     7     0     1     0     1     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     1     0]
